geog,Population_2010,Population-Aged-60-and-Over_2010,Unemployed_2010,Labor-Force_2010,College-Graduates_2010,People-in-Poverty_2010,Vacant-Homes_2010,Owner-Occupied-Homes_2010,Renter-Occupied-Homes_2010,Total-Occupied-Homes_2010,Population_2015,Population-Aged-60-and-Over_2015,Unemployed_2015,Labor-Force_2015,College-Graduates_2015,People-in-Poverty_2015,Vacant-Homes_2015,Owner-Occupied-Homes_2015,Renter-Occupied-Homes_2015,Total-Occupied-Homes_2015,Population_2020,Population-Aged-60-and-Over_2020,Unemployed_2020,Labor-Force_2020,College-Graduates_2020,People-in-Poverty_2020,Vacant-Homes_2020,Owner-Occupied-Homes_2020,Renter-Occupied-Homes_2020,Total-Occupied-Homes_2020
17119403531,7340,994,247,4267,1682,635,145,2109,759,2868,7939,1525,291,4684,2175,504,86,2144,919,3063,6924,1614,95,3449,1694,480,84,2293,782,3075
17119403502,6129,1420,172,3092,1313,794,78,1830,709,2539,6251,1286,180,3176,1945,293,215,1801,751,2552,5140,1794,126,2691,1202,231,169,1940,413,2353
17119403404,3449,349,0,0,856,585,223,789,646,1435,2920,376,201,1579,756,515,85,843,427,1270,3324,861,176,1702,577,495,152,981,453,1434
17119403403,2439,701,0,0,580,270,226,705,520,1225,2852,631,227,1681,754,523,129,734,766,1500,3089,738,55,1615,609,591,0,857,462,1319
17119403401,4073,788,115,2323,906,347,87,966,793,1759,4006,704,216,2352,1061,452,127,836,817,1653,3953,652,75,2332,834,172,98,856,821,1677
17119403300,3067,526,108,1515,571,703,169,786,613,1399,2921,519,160,1597,561,489,205,672,565,1237,2547,439,57,1450,263,545,224,564,576,1140
17119403200,4701,716,213,2914,1084,460,184,1487,661,2148,4425,691,211,2379,744,669,451,1082,725,1807,4776,793,196,2695,597,1011,147,1488,560,2048
17119403122,4970,852,158,2636,1619,394,189,1189,653,1842,5639,956,113,2624,2130,391,216,1271,876,2147,5458,1132,93,2680,2118,337,93,1522,619,2141
17119403121,9018,1406,182,4676,3054,819,199,2665,646,3311,8962,1910,311,4860,3653,482,283,2695,702,3397,8761,2201,173,4533,3120,553,192,2584,893,3477
17119403101,6472,529,280,3295,1311,690,106,872,538,1410,6127,674,429,3029,1094,1015,165,815,528,1343,6916,567,233,3127,934,1544,283,859,815,1674
17119403002,7151,1145,202,4048,2579,331,171,2340,411,2751,7194,1447,160,3746,3114,518,222,2248,560,2808,6956,1462,107,3459,2793,218,228,2081,584,2665
17119403001,5026,853,131,2679,1588,1049,44,1152,992,2144,5699,1077,192,3110,1866,882,96,1245,944,2189,5869,982,520,3363,1568,766,249,1240,1014,2254
17119402900,4360,583,164,2447,1275,736,324,1169,665,1834,4379,721,83,2648,1396,520,280,1259,632,1891,4338,914,65,2788,1577,514,45,1350,703,2053
17119402805,5393,1196,0,0,1195,292,123,1939,244,2183,5546,1322,210,3011,1539,283,195,1855,402,2257,5624,1280,208,3222,1192,149,206,1859,171,2030
17119402804,2435,415,0,0,397,144,14,862,50,911,2559,640,44,1368,579,150,80,971,97,1068,2288,752,60,1313,445,131,18,901,52,953
17119402803,3688,795,58,1740,939,332,76,983,440,1423,3408,756,123,1773,883,353,181,916,306,1222,3158,779,75,1350,659,339,276,861,183,1044
17119402801,3659,890,107,1794,1170,176,86,1406,59,1465,3600,1199,104,1730,979,259,67,1394,126,1520,3860,1590,67,1984,1034,85,105,1552,136,1688
17119402722,2977,953,74,1451,946,195,16,1157,85,1242,2972,918,121,1441,1132,44,90,1117,91,1208,3056,1136,10,1405,945,155,0,1144,111,1255
17119402721,7578,1870,215,3701,1915,796,73,2679,416,3095,7844,2408,360,3869,1985,366,202,2472,620,3092,7829,2754,107,3884,1955,610,163,2630,732,3362
17119402701,7054,1877,109,3257,1407,1263,42,2259,760,3019,6883,1878,252,3430,1541,549,228,2338,624,2961,6511,1969,139,3829,1150,973,295,2174,896,3070
17119402600,2888,423,153,1237,437,461,349,566,541,1107,2605,450,212,1302,473,663,157,660,572,1232,2440,407,137,1241,167,528,367,464,467,931
17119402500,2426,312,113,1252,360,587,148,496,407,903,2191,378,207,1070,533,509,190,525,325,850,1796,430,80,733,300,699,258,511,240,751
17119402400,1782,299,99,814,401,500,137,423,469,892,1766,410,215,901,364,585,275,355,501,856,1664,524,44,844,262,424,234,403,458,861
17119402300,2212,393,83,1024,542,360,119,527,296,823,1792,398,106,930,584,253,143,603,211,814,1843,516,94,993,485,247,129,540,252,792
17119402200,3503,546,94,1591,647,922,248,879,414,1293,3326,617,183,1605,737,740,202,864,571,1435,3364,613,166,1874,462,788,194,798,559,1357
17119402100,3110,526,235,1226,603,794,154,775,424,1199,3389,589,257,1507,473,763,227,799,441,1240,2662,845,54,1137,384,932,230,733,410,1143
17119402000,4424,1158,189,2273,752,689,177,1387,575,1962,4303,1124,186,1775,873,1350,247,1239,739,1978,4571,1215,201,2233,690,809,204,1332,703,2035
17119401905,5433,986,0,0,744,568,182,1591,500,2091,5355,1099,216,2672,546,970,142,1453,642,2095,5134,1158,171,2654,405,852,197,1498,534,2032
17119401901,1811,363,56,793,349,495,0,615,98,713,1745,440,54,876,516,166,48,597,128,725,1736,578,63,947,371,39,33,663,120,783
17119401800,6535,1574,189,3296,1082,589,195,2058,516,2574,6085,1324,253,3527,1016,599,106,1976,657,2633,5693,1451,215,3416,1040,308,279,2052,321,2373
17119401722,2739,798,47,1312,566,224,56,997,230,1227,2784,577,137,1322,552,403,77,799,321,1120,2835,751,27,1431,537,100,131,977,281,1258
17119401721,5654,894,231,3056,1058,412,125,1725,584,2309,5661,1006,232,2956,1255,648,64,1660,551,2211,5630,1382,102,2873,940,389,296,1870,298,2168
17119401701,2849,341,147,1152,188,1028,161,592,428,1020,2638,391,202,1085,271,840,94,489,462,951,2604,421,138,1107,145,664,29,578,376,954
17119401500,2716,326,143,1480,380,601,219,808,303,1111,2814,502,269,1519,476,909,185,777,414,1191,2926,394,115,1515,233,720,89,668,556,1224
17119401400,2970,803,73,1461,513,285,136,1035,326,1361,3131,673,213,1626,667,390,161,1070,281,1351,3254,862,64,1467,347,748,228,979,411,1390
17119401300,5294,1195,186,2261,453,1621,307,1486,1055,2541,5147,1256,261,2778,819,1113,292,1333,1049,2382,4835,1025,89,2169,642,932,463,1123,951,2074
17119401200,1764,251,66,858,359,105,50,597,109,706,1805,415,66,848,388,273,68,585,211,796,2002,427,27,1041,215,207,127,587,249,836
17119401102,3453,891,0,0,492,341,144,1026,251,1277,3302,765,207,1750,674,502,120,1102,293,1395,3440,755,129,1775,433,441,130,1061,402,1463
17119401101,2910,425,0,0,388,686,87,695,561,1256,2984,693,154,1440,498,500,156,799,589,1388,2816,551,46,1404,252,891,257,744,406,1150
17119401000,2772,468,136,1469,371,531,109,761,399,1160,2577,430,76,1259,361,644,185,633,405,1038,2450,504,61,1185,315,496,166,714,380,1094
17119400952,3311,454,184,1959,372,179,273,938,311,1249,3110,515,125,1595,410,850,281,798,345,1143,3489,781,41,1550,459,211,322,926,345,1271
17119400951,4705,1413,105,2225,804,514,197,1441,584,2025,5156,1422,57,2530,1224,247,94,1586,650,2236,5275,1401,46,2485,713,455,276,1325,811,2136
17119400904,3194,829,126,1683,570,270,100,1322,95,1417,3782,921,262,1970,532,421,57,1225,317,1542,3385,973,83,1594,335,225,147,1352,91,1443
17119400903,5503,789,364,2780,757,954,297,1614,503,2117,5169,1078,261,2189,741,1137,358,1318,633,1951,4612,958,157,2297,381,846,455,1170,752,1922
